id,desc
sky,Sky cover
wdir,Посока на вятъра
temp,Температура
dew,Dew Point
humidity,Relative Humidity
heatindex,Heat Index
maxt,Maximum Temperature
mint,Minimum Temperature
wspd,Wind Speed
wgust,Wind Gust
wdir,Посока на вятъра
precip,Precipitation
estprecip,Estimated precipitation
precipcover,Precipitation Cover
visibility,Visibility
cloudcover,Cloud Cover
latlon,Latitude & Longitude
address,Адрес
sealevelpressure,Sea Level Pressure
stationdistance,Mean Station Distance
pop,Chance Precipitation (%)
snow,Snow
snowdepth,Snow Depth
windchill,Wind Chill
solarradiation,Solar Radiation
solarenergy,Solar Energy
sunshine,Sunshine
stationInfo,Contributing Stations
weatherType,Weather Type
type_1,Blowing Or Drifting Snow
type_2,Drizzle
type_3,Heavy Drizzle
type_4,Light Drizzle
type_5,Heavy Drizzle/Rain
type_6,Light Drizzle/Rain
type_7,Dust storm
type_8,Fog
type_9,Freezing Drizzle/Freezing Rain
type_10,Heavy Freezing Drizzle/Freezing Rain
type_11,Light Freezing Drizzle/Freezing Rain
type_12,Freezing Fog
type_13,Heavy Freezing Rain
type_14,Light Freezing Rain
type_15,Funnel Cloud/Tornado
type_16,Hail Showers
type_17,Ice
type_18,Lightning Without Thunder
type_19,Mist
type_20,Precipitation In Vicinity
type_21,Rain
type_22,Heavy Rain And Snow
type_23,Light Rain And Snow
type_24,Rain Showers
type_25,Heavy Rain
type_26,Light Rain
type_27,Sky Coverage Decreasing
type_28,Sky Coverage Increasing
type_29,Sky Unchanged
type_30,Smoke Or Haze
type_31,Snow
type_32,Snow And Rain Showers
type_33,Snow Showers
type_34,Heavy Snow
type_35,Light Snow
type_36,Squalls
type_37,Thunderstorm
type_38,Thunderstorm Without Precipitation
type_39,Diamond Dust
type_40,Hail
type_41,Overcast
type_42,Partially cloudy
type_43,Clear
warmingup,warming up
coolingdown,cooling down
similartemp,similar temperatures continuing
raindays,a chance of rain
snowdays,a chance of snow
norain,no rain expected
mostdays,multiple days
rainallday,a chance of rain throughout the day
rainclearinglater,rain clearing later
rainpm,afternoon rain
rainam,morning rain
rainearlyam,early morning rain
rainlatepm,late afternoon rain
rainampm,rain in the morning and afternoon
rainchance,a chance of rain
raindefinite,rain
snowallday,a chance of snow throughout the day
snowclearinglater,snow clearing later
snowpm,afternoon snow
snowam,morning snow
snowearlyam,early morning snow
snowlatepm,късен следобеден сняг
snowampm,сняг сутрин и следобед
snowchance,възможно преваляване сняг
snowdefinite,сняг
rainsnowallday,вероятност за дъжд или сняг през целия ден
rainsnowclearinglater,rain or snow clearing later
rainsnowpm,следобеден дъжд или сняг
rainsnowam,сутрин дъжд или сняг
rainsnowearlyam,рано сутрин сняг или дъжд
rainsnowlatepm,късен следобед дъжд или сняг
rainsnowampm,дъжд или сняг сутрин и следобед
rainsnowchance,възможност за дъжд или сняг
rainsnowdefinite,дъжд или сняг
clear,ясно през целия ден
overcast,облачно през целия ден
cloudierpm,става облачно следобед
clearingpm,разчистване следобед
variablecloud,частична облачност през целия ден
stormsstrong,възможни силни бури
stormspossible,възможни бури
skytempprecip,%s and %s with %s.
skyprecip,%s with %s.
sky,%s.
tempprecipweek,%s with %s.
tempweek,%s.
dow1,Понеделник
dow2,Вторник
dow3,Сряда
dow4,Четвъртък
dow5,Петък
dow6,Събода
dow7,Неделя
today,днес
tomorrow,утре
