id,desc
sky,Bewölkung
wdir,Windrichtung
temp,Temperatur
dew,Taupunkt
humidity,Relative Feuchtigkeit
heatindex,Hitzeindex
maxt,Höchsttemperatur
mint,Tiefsttemperatur
wspd,Windgeschwindigkeit
wgust,Windböen
wdir,Windrichtung
precip,Niederschlag
estprecip,Erwarteter Niederschlag
precipcover,Niederschlagsverteilung
visibility,Sicht
cloudcover,Bewölkungsdichte
latlon,Längen- und Breitengrad
address,Adresse
sealevelpressure,Meeresspiegeldruck
stationdistance,Durchschnittliche Stationsentfernung
pop,Zufallsniederschlag (%)
snow,Schnee
snowdepth,Schneehöhe
windchill,Windchill
solarradiation,Sonnenstrahlung
solarenergy,Solarenergie
sunshine,Sonnenschein
stationInfo,Beitragende Stationen
weatherType,Wettertyp
type_1,Schneeverwehungen
type_2,Nieselregen
type_3,Starker Nieselregen
type_4,Leichter Nieselregen
type_5,Starker Nieselregen/Regen
type_6,Leichter Nieselregen/Regen
type_7,Staubsturm
type_8,Nebel
type_9,gefrierende Niederschläge
type_10,Starker gefrierender Nieselregen/gefrierender Regen
type_11,Leichter gefrierender Nieselregen/gefrierender Regen
type_12,Gefrierender Nebel
type_13,Starker gefrierender Regen
type_14,Leichter gefrierender Regen
type_15,Wolkenschlauch/Tornado
type_16,Hagelschauer
type_17,Eis
type_18,Blitze ohne Donner
type_19,Dunst
type_20,Niederschlag
type_21,Regen
type_22,Starker Regen und Schnee
type_23,Leichter Regen und Schnee
type_24,Regenschauer
type_25,Starker Regen
type_26,Leichter Regen
type_27,Abnehmende Bedeckung
type_28,Zuhnemende Bedeckung
type_29,Unverändert
type_30,Rauch oder Hitzeflimmern
type_31,Schnee
type_32,Schnee- und Regenschauer
type_33,Schneeschauer
type_34,Starker Schneefall
type_35,Leichter Schneefall
type_36,Sturmböen
type_37,Gewitter
type_38,Gewitter ohne Niederschlag
type_39,Polarschnee
type_40,Hagel
type_41,Bedeckt
type_42,Teilweise bewölkt
type_43,Klar
warmingup,Aufwärmen
coolingdown,Abkühlung
similartemp,ähnliche Temperaturen setzen sich fort
raindays,Regen möglich
snowdays,Schnee möglich
norain,Kein Regen erwartet
mostdays,mehrere Tage
rainallday,Regen ganztägig möglich
rainclearinglater,"Regen, klart später auf"
rainpm,Regen am Nachmittag
rainam,Regen am Morgen
rainearlyam,Regen am frühen Morgen
rainlatepm,Regen am späten Nachmittag
rainampm,Regen am Morgen und Nachmittag
rainchance,Regen möglich
raindefinite,Regen
snowallday,Schnee ganztägig möglich
snowclearinglater,"Schnee, klart später auf"
snowpm,Schnee am Nachmittag
snowam,Schnee am Morgen
snowearlyam,Schnee am frühen Morgen
snowlatepm,Schnee am späten Nachmittag
snowampm,Schnee am Morgen und Nachmittag
snowchance,Schnee möglich
snowdefinite,Schnee
rainsnowallday,Regen oder Schnee ganztägig möglich
rainsnowclearinglater,"Regen oder Schnee, klart später auf"
rainsnowpm,Regen oder Schnee am Nachmittag
rainsnowam,Regen oder Schnee am Morgen
rainsnowearlyam,Regen oder Schnee am frühen Morgen
rainsnowlatepm,Regen oder Schnee am späten Nachmittag
rainsnowampm,Regen oder Schnee am Morgen und Nachmittag
rainsnowchance,Regen oder Schnee möglich
rainsnowdefinite,Regen oder Schnee
clear,ganztägig klarer Himmel
overcast,ganztägig bewölkter Himmel
cloudierpm,Nachmittags wird es bewölkt
clearingpm,Aufheiterungen am Nachmittag
variablecloud,teilweise bewölkt
stormsstrong,starke Stürme möglich
stormspossible,Stürme möglich
skytempprecip,%s und %s mit %s.
skyprecip,%s mit %s.
sky,%s.
tempprecipweek,%s mit %s.
tempweek,%s.
dow1,Montag
dow2,Dienstag
dow3,Mittwoch
dow4,Donnerstag
dow5,Freitag
dow6,Samstag
dow7,Sonntag
today,heute
tomorrow,morgen
