id,desc
sky,空の状況
wdir,風向
temp,気温
dew,露点
humidity,相対湿度
heatindex,熱指数
maxt,最高気温
mint,最低気温
wspd,風速
wgust,突風
wdir,風向
precip,降水量
estprecip,推定降水量
precipcover,降水域率
visibility,視程
cloudcover,雲量
latlon,緯度・経度
address,住所
sealevelpressure,海面気圧
stationdistance,平均観測点距離
pop,降水確率（％）
snow,雪
snowdepth,積雪深
windchill,風冷指数
solarradiation,日射量
solarenergy,太陽光エネルギー
sunshine,日照
stationInfo,寄与する観測所
weatherType,天候型
type_1,地吹雪
type_2,霧雨
type_3,強い霧雨
type_4,弱い霧雨
type_5,強い霧雨/雨
type_6,弱い霧雨/雨
type_7,砂嵐
type_8,霧
type_9,着氷性の霧雨/凍雨
type_10,強い着氷性の霧雨/凍雨
type_11,弱い着氷性の霧雨/凍雨
type_12,着氷性の霧
type_13,強い着氷性の雨
type_14,弱い着氷性の雨
type_15,漏斗雲/竜巻
type_16,しゅう雨性降雹
type_17,氷
type_18,雷鳴を伴わない稲妻
type_19,靄（もや）
type_20,付近に降水
type_21,雨
type_22,大雨と雪
type_23,小雨と雪
type_24,にわか雨
type_25,大雨
type_26,小雨
type_27,雲量減少
type_28,雲量増加
type_29,雲量変化なし
type_30,煙または煙霧
type_31,雪
type_32,しゅう雨性のみぞれ
type_33,しゅう雪（にわか雪）
type_34,大雪
type_35,小雪
type_36,スコール
type_37,雷雨
type_38,降水のない雷雨
type_39,ダイヤモンドダスト
type_40,雹（ひょう）
type_41,曇り
type_42,晴れ時々曇り
type_43,快晴
warmingup,気温上昇中
coolingdown,気温低下中
similartemp,同様の温度が続く
raindays,雨の可能性
snowdays,雪の可能性
norain,雨が降りません
mostdays,数日間
rainallday,一日中雨の可能性
rainclearinglater,雨のち晴れ
rainpm,午後から雨
rainam,午前から雨
rainearlyam,早朝から雨
rainlatepm,夕方から雨
rainampm,午前午後に雨
rainchance,雨の可能性
raindefinite,雨
snowallday,一日中雪
snowclearinglater,雪のち晴れ
snowpm,午後から雪
snowam,午前から雪
snowearlyam,早朝から雪
snowlatepm,夕方から雪
snowampm,午前と午後に雪
snowchance,雪の可能性
snowdefinite,雪
rainsnowallday,一日中雨または雪
rainsnowclearinglater,雨または雪のち晴れ
rainsnowpm,午後から雨または雪
rainsnowam,午前から雨または雪
rainsnowearlyam,早朝から雪または雨
rainsnowlatepm,夕方から雨または雪
rainsnowampm,午前午後に雨または雪
rainsnowchance,雨または雪の可能性
rainsnowdefinite,雨または雪
clear,一日中快晴
overcast,一日中曇り
cloudierpm,午後から曇り
clearingpm,午後から晴れ
variablecloud,一日中時々曇り
stormsstrong,激しい嵐の可能性
stormspossible,嵐の可能性
skytempprecip,%s と %s ( %s )
skyprecip,%s ( %s )
sky,%s.
tempprecipweek,%s ( %s )
tempweek,%s.
dow1,月曜日
dow2,火曜日
dow3,水曜日
dow4,木曜日
dow5,金曜日
dow6,土曜日
dow7,日曜日
today,今日
tomorrow,明日
