id,desc
sky,Облачно
wdir,Направление ветра
temp,Температура
dew,Точка росы
humidity,Влажность
heatindex,Индекс тепла
maxt,Максимальная температура
mint,Минимальная температура
wspd,Скорость ветра
wgust,Порыв ветра
wdir,Направление ветра
precip,Осадки
estprecip,Расчетное количество осадков
precipcover,Покрытие осадками
visibility,Видимость
cloudcover,Облачный покров
latlon,Широта и долгота
address,Адрес
sealevelpressure,Давление на уровне моря
stationdistance,Среднее расстояние до станции
pop,Вероятность осадков (%)
snow,Снег
snowdepth,Глубина снежного покрова
windchill,Охлаждение ветра
solarradiation,Солнечная радиация
solarenergy,Солнечная энергия
sunshine,Солнечный свет
stationInfo,"Станции, вносящие вклад"
weatherType,Тип погоды
type_1,Дующий или дрейфующий снег
type_2,Моросящий дождь
type_3,Сильный моросящий дождь
type_4,Легкий моросящий дождь
type_5,Сильный моросящий дождь/дождь
type_6,Морось/дождь
type_7,Пылевая буря
type_8,Туман
type_9,Ледяная морось/ледяной дождь
type_10,Сильная морось/ледяной дождь
type_11,Легкая морось/ледяной дождь
type_12,Ледяной туман
type_13,Сильный ледяной дождь
type_14,Небольшой ледяной дождь
type_15,Воронкообразное облако/Торнадо
type_16,Ливни
type_17,Лёд
type_18,Молния без грома
type_19,Туман
type_20,Осадки в окрестностях
type_21,Дождь
type_22,Сильный Дождь и Снег
type_23,Лёгкий Дождь и Снег
type_24,Обильный Дождь
type_25,Сильный Дождь
type_26,Лёгкий Дождь
type_27,Облачность уменьшается
type_28,Облачность увеличивается
type_29,Небо без изменений
type_30,Дым
type_31,Снег
type_32,Обильные Снег и Дождь
type_33,Обильный снег
type_34,Снегопад
type_35,Небольшой снег
type_36,Шквал
type_37,Гроза
type_38,Гроза без осадков
type_39,Ясное небо с мелкими осадками
type_40,Град
type_41,Пасмурная погода
type_42,Частично облачно
type_43,Ясно
warmingup,потепление
coolingdown,похолодание
similartemp,одинаковая температура
raindays,вероятностью дождя
snowdays,вероятностью снега
norain,дождя не ожидается
mostdays,несколько дней
rainallday,вероятность дождя в течение дня
rainclearinglater,дождь скоро закончится
rainpm,дождь со второй половины дня
rainam,возможен дождь утром
rainearlyam,ранний утренний дождь
rainlatepm,возможен дождь ближе к вечеру
rainampm,дождь утром и днем
rainchance,вероятность дождя
raindefinite,дождь
snowallday,вероятностью снега в течение дня
snowclearinglater,снег пройдёт позже
snowpm,послеполуденный снег
snowam,утренний снег
snowearlyam,ранний утренний снег
snowlatepm,вечером возможен снег
snowampm,снег утром и днем
snowchance,большая вероятность снега
snowdefinite,снег
rainsnowallday,вероятностью дождя или снега
rainsnowclearinglater,дождь или снег пройдёт позже
rainsnowpm,послеобеденный дождь или снег
rainsnowam,возможен снег или дождь утром
rainsnowearlyam,ранним утром снег или дождь
rainsnowlatepm,дождь или снег поздним вечером
rainsnowampm,дождь или снег утром и днем
rainsnowchance,вероятностью дождя или снега
rainsnowdefinite,дождь или снег
clear,ясно в течение всего дня
overcast,облачно в течении всего дня
cloudierpm,облачно во второй половине дня
clearingpm,прояснение во второй половине дня
variablecloud,частично облачно в течение дня
stormsstrong,возможен сильный шторм
stormspossible,возможен шторм
skytempprecip,%s и %s с %s.
skyprecip,%s с %s.
sky,%s.
tempprecipweek,%s с %s.
tempweek,%s.
dow1,понедельник
dow2,вторник
dow3,среда
dow4,четверг
dow5,пятница
dow6,суббота
dow7,воскресенье
today,сегодня
tomorrow,завтра
