id,desc
sky,Bầu Trời
wdir,Hướng Gió
temp,Nhiệt Độ
dew,Điểm Sương
humidity,Độ Ẩm
heatindex,Chỉ Số Nhiệt Độ
maxt,Nhiệt Độ Cao Nhất
mint,Nhiệt Độ Thấp Nhất
wspd,Tốc Độ Gió
wgust,Gió Giật
wdir,Hướng Gió
precip,Lượng Mưa
estprecip,Lượng Mưa Ước Tính
precipcover,Lượng Mưa Bao Phủ
visibility,Tầm Nhìn
cloudcover,Mây Che Phủ
latlon,Vĩ Độ - Kinh Độ
address,Địa Chỉ
sealevelpressure,Áp Suất Nước Biển
stationdistance,Khoảng Cách Trạm
pop,pop
snow,Tuyết
snowdepth,Độ Dày Của Tuyết
windchill,Gió Lạnh
solarradiation,Bức Xạ Mặt Trời
solarenergy,Năng Lượng Mặt Trời
sunshine,Ánh Sáng Mặt Trời
stationInfo,Thông Tin Trạm
weatherType,Loại Thời Tiết
type_1,type_1
type_2,type_2
type_3,type_3
type_4,type_4
type_5,type_5
type_6,type_6
type_7,type_7
type_8,type_8
type_9,type_9
type_10,type_10
type_11,type_11
type_12,type_12
type_13,type_13
type_14,type_14
type_15,type_15
type_16,type_16
type_17,type_17
type_18,type_18
type_19,type_19
type_20,type_20
type_21,type_21
type_22,type_22
type_23,type_23
type_24,type_24
type_25,type_25
type_26,type_26
type_27,type_27
type_28,type_28
type_29,type_29
type_30,type_30
type_31,type_31
type_32,type_32
type_33,type_33
type_34,type_34
type_35,type_35
type_36,type_36
type_37,type_37
type_38,type_38
type_39,type_39
type_40,type_40
type_41,type_41
type_42,type_42
type_43,type_43
warmingup,warmingup
coolingdown,Hạ Nhiệt
similartemp,Nhiệt Độ Tương Tự
raindays,Ngày Mưa
snowdays,Ngày Tuyết
norain,Không Mưa
mostdays,Hầu Hết Các Ngày
rainallday,Mưa Cả Ngày
rainclearinglater,rainclearinglater
rainpm,Mưa Buổi Tối
rainam,Mưa Buổi Sáng
rainearlyam,Mưa Sáng Sớm
rainlatepm,Mưa Buổi Chiều
rainampm,Mưa Lúc Chiều
rainchance,Khả Năng Mưa
raindefinite,Nhất Định Có Mưa
snowallday,Có Tuyết Cả Ngày
snowclearinglater,snowclearinglater
snowpm,Tuyết Rơi Buổi Tối
snowam,Tuyết Rơi Buổi Sáng
snowearlyam,Tuyết Rơi Sáng Sớm
snowlatepm,Tuyết Rơi Chiều Muộn
snowampm,Tuyết Rơi Buổi Chiều
snowchance,Khả Năng Có Tuyết
snowdefinite,Nhất Định Có Tuyết
rainsnowallday,Mưa Tuyết Cả Ngày
rainsnowclearinglater,rainsnowclearinglater
rainsnowpm,Mưa Tuyết Buổi Tối
rainsnowam,Mưa Tuyết Buổi Sáng
rainsnowearlyam,Mưa Tuyết Sáng Sớm
rainsnowlatepm,Mưa Tuyết Chiều Muộn
rainsnowampm,Mưa Tuyết Buổi Chiều
rainsnowchance,Khả Năng Có Mưa Tuyết
rainsnowdefinite,Nhất Định Có Mưa Tuyết
clear,Bầu Trời Quang Đãng
overcast,Trời U Ám
cloudierpm,Buổi Chiều Nhiều Mây
clearingpm,Buổi Chiều Trời Quang Đãng
variablecloud,Mây Trôi
stormsstrong,Cơn Bão Mạnh
stormspossible,Có Thể Có Bão
skytempprecip,%s and %s with %s.
skyprecip,%s with %s.
sky,%s.
tempprecipweek,%s with %s.
tempweek,%s.
dow1,dow1
dow2,dow2
dow3,dow3
dow4,dow4
dow5,dow5
dow6,dow6
dow7,dow7
today,Hôm Nay
tomorrow,Ngày Mai
