id,desc
sky,天空覆盖
wdir,风向
temp,温度
dew,露点
humidity,相对湿度
heatindex,热度指数
maxt,最高温度
mint,最低温度
wspd,风速
wgust,阵风
wdir,风向
precip,沉淀
estprecip,估计降水量
precipcover,降水盖
visibility,能见度
cloudcover,云盖
latlon,纬度与经度
address,地址
sealevelpressure,海平面压力
stationdistance,平均气象站距离
pop,沉淀的机会 (%)
snow,雪
snowdepth,雪深
windchill,风寒
solarradiation,太阳辐射
solarenergy,太阳能
sunshine,阳光
stationInfo,贡献气象站
weatherType,天气类型
type_1,吹雪或飘雪
type_2,细雨
type_3,重的细雨
type_4,毛毛细雨
type_5,重的细雨/雨
type_6,浅色毛毛雨/雨
type_7,尘暴
type_8,多雾路段
type_9,冻雨
type_10,大冻雨/冻雨
type_11,微弱的冻雨/冻雨
type_12,冷冻雾
type_13,沉重的冻雨
type_14,微弱的冻雨
type_15,漏斗云/龙卷风
type_16,冰雹淋浴
type_17,冰
type_18,没有雷声的闪电
type_19,薄雾
type_20,该地区降水
type_21,雨
type_22,大雨和雪
type_23,小雨和雪
type_24,雨淋浴
type_25,倾盆大雨
type_26,小雨
type_27,天空覆盖率下降
type_28,天空覆盖范围增加
type_29,天空不变
type_30,烟雾或阴霾
type_31,雪
type_32,雪雨
type_33,阵雪
type_34,暴雪
type_35,小雪
type_36,暴风雪
type_37,雷雨
type_38,没有降水的雷雨
type_39,钻石尘埃
type_40,冰雹
type_41,阴云密布
type_42,部分多云
type_43,晴朗
warmingup,热身
coolingdown,冷却下来
similartemp,类似的温度继续
raindays,雨的机会
snowdays,雪的机会
norain,预计没有下雨
mostdays,多天
rainallday,下雨的机会
rainclearinglater,雨稍后会停
rainpm,午后的雨
rainam,早上雨
rainearlyam,一大早下雨
rainlatepm,午后的雨
rainampm,早上和下午雨
rainchance,雨的机会
raindefinite,雨
snowallday,下雪的机会
snowclearinglater,雪稍后会停
snowpm,下午雪
snowam,早晨雪
snowearlyam,清晨的雪
snowlatepm,下午晚些时候雪
snowampm,早上和下午的雪
snowchance,下雪的机会
snowdefinite,雪
rainsnowallday,全天下雨或雪的机会
rainsnowclearinglater,雨或雪将稍后停止
rainsnowpm,下午雨或雪
rainsnowam,早上雨或雪
rainsnowearlyam,清晨雪或雨
rainsnowlatepm,下午晚些时候的雨或雪
rainsnowampm,早上和下午的雨或雪
rainsnowchance,雨或雪的机会
rainsnowdefinite,雨或雪
clear,全天无云
overcast,全天多云的天空
cloudierpm,下午多云
clearingpm,阳光明媚的下午
variablecloud,全天多云的天空
stormsstrong,强烈的风暴可能
stormspossible,可能的风暴
skytempprecip,％s 和 ％s 和 ％s.
skyprecip,%s 和 %s
sky,%s.
tempprecipweek,%s 和 %s.
tempweek,%s.
dow1,周一
dow2,周二
dow3,周三
dow4,周四
dow5,星期五
dow6,周六
dow7,星期日
today,今天
tomorrow,明天
